"No.","Time","D_Time","Source","Destination","Protocol","Length","Info"
"1616","1.919384","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=57617 Win=174992 Len=0 TSval=479 TSecr=463"
"1617","1.920376","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=59045 Ack=1 Win=58400 Len=1428 TSval=463 TSecr=463"
"1618","1.920586","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=59045 Win=177920 Len=0 TSval=480 TSecr=463"
"1619","1.921578","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=60473 Ack=1 Win=58400 Len=1428 TSval=463 TSecr=463"
"1620","1.921788","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=60473 Win=180832 Len=0 TSval=480 TSecr=463"
"1621","1.922780","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=61901 Ack=1 Win=58400 Len=1428 TSval=464 TSecr=464"
"1622","1.922989","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=61901 Win=183760 Len=0 TSval=480 TSecr=463"
"1623","1.923981","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=63329 Ack=1 Win=58400 Len=1428 TSval=464 TSecr=464"
"1624","1.924191","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=63329 Win=186672 Len=0 TSval=481 TSecr=464"
"1625","1.925183","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=64757 Ack=1 Win=58400 Len=1428 TSval=464 TSecr=464"
"1626","1.925392","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=64757 Win=189600 Len=0 TSval=481 TSecr=464"
"1627","1.926384","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=66185 Ack=1 Win=58400 Len=1428 TSval=464 TSecr=464"
"1628","1.926594","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=66185 Win=192512 Len=0 TSval=481 TSecr=464"
"1629","1.927586","0.000992","10.1.0.2","10.1.2.2","TCP","960","34042 > 50000 [PSH, ACK] Seq=67613 Ack=1 Win=58400 Len=886 TSval=464 TSecr=464"
"1630","1.927796","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=67613 Win=195440 Len=0 TSval=481 TSecr=464"
"1700","1.968129","0.000237","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=68499 Win=198352 Len=0 TSval=492 TSecr=464"
"1801","2.020235","0.000558","10.1.0.2","10.1.2.2","TCP","62","34042 > 50000 [FIN, ACK] Seq=68499 Ack=1 Win=58400 Len=0 TSval=492 TSecr=481"
"1886","2.060179","0.000050","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=68500 Win=198352 Len=0 TSval=515 TSecr=492"
