Time,Source,Destination,Length,data len
4.033510s,10.2.3.1,10.1.3.1,62,
4.033627s,10.1.3.1,10.2.3.1,1502,1428
4.033630s,10.2.3.1,10.1.3.1,62,
4.033748s,10.1.3.1,10.2.3.1,1502,1428
4.033750s,10.2.3.1,10.1.3.1,62,
4.033868s,10.1.3.1,10.2.3.1,1502,1428
4.033870s,10.2.3.1,10.1.3.1,62,
4.033988s,10.1.3.1,10.2.3.1,1502,1428
4.033990s,10.2.3.1,10.1.3.1,62,
4.034108s,10.1.3.1,10.2.3.1,1502,1428
4.034110s,10.2.3.1,10.1.3.1,62,
4.034228s,10.1.3.1,10.2.3.1,1502,1428
4.034230s,10.2.3.1,10.1.3.1,62,
4.034348s,10.1.3.1,10.2.3.1,1502,1428
4.034351s,10.2.3.1,10.1.3.1,62,
4.034468s,10.1.3.1,10.2.3.1,1502,1428
4.034471s,10.2.3.1,10.1.3.1,62,
4.034589s,10.1.3.1,10.2.3.1,1502,1428
4.034591s,10.2.3.1,10.1.3.1,62,
4.034709s,10.1.3.1,10.2.3.1,1502,1428
4.034711s,10.2.3.1,10.1.3.1,62,
4.034829s,10.1.3.1,10.2.3.1,1502,1428
4.034831s,10.2.3.1,10.1.3.1,62,
4.034949s,10.1.3.1,10.2.3.1,1502,1428
4.034951s,10.2.3.1,10.1.3.1,62,
4.035069s,10.1.3.1,10.2.3.1,1502,1428
4.035072s,10.2.3.1,10.1.3.1,62,
4.035189s,10.1.3.1,10.2.3.1,1502,1428
4.035192s,10.2.3.1,10.1.3.1,62,
4.035310s,10.1.3.1,10.2.3.1,1502,1428
4.035312s,10.2.3.1,10.1.3.1,62,
4.035430s,10.1.3.1,10.2.3.1,1502,1428
4.035432s,10.2.3.1,10.1.3.1,62,
4.035550s,10.1.3.1,10.2.3.1,1502,1428
4.035552s,10.2.3.1,10.1.3.1,62,
4.035670s,10.1.3.1,10.2.3.1,1502,1428
4.035672s,10.2.3.1,10.1.3.1,62,
4.035790s,10.1.3.1,10.2.3.1,1502,1428
4.035793s,10.2.3.1,10.1.3.1,62,
4.035910s,10.1.3.1,10.2.3.1,1502,1428
4.035913s,10.2.3.1,10.1.3.1,62,
4.036031s,10.1.3.1,10.2.3.1,1502,1428
4.036033s,10.2.3.1,10.1.3.1,62,
4.036151s,10.1.3.1,10.2.3.1,1502,1428
4.036153s,10.2.3.1,10.1.3.1,62,
4.036271s,10.1.3.1,10.2.3.1,1502,1428
4.036273s,10.2.3.1,10.1.3.1,62,
4.036391s,10.1.3.1,10.2.3.1,1502,1428
4.036393s,10.2.3.1,10.1.3.1,62,
4.036511s,10.1.3.1,10.2.3.1,1502,1428
4.036514s,10.2.3.1,10.1.3.1,62,
4.036631s,10.1.3.1,10.2.3.1,1502,1428
4.036634s,10.2.3.1,10.1.3.1,62,
4.036752s,10.1.3.1,10.2.3.1,1502,1428
4.036754s,10.2.3.1,10.1.3.1,62,
4.036872s,10.1.3.1,10.2.3.1,1502,1428
4.036874s,10.2.3.1,10.1.3.1,62,
4.036992s,10.1.3.1,10.2.3.1,1502,1428
4.036994s,10.2.3.1,10.1.3.1,62,
4.037112s,10.1.3.1,10.2.3.1,1502,1428
4.037114s,10.2.3.1,10.1.3.1,62,
4.037232s,10.1.3.1,10.2.3.1,1502,1428
4.037234s,10.2.3.1,10.1.3.1,62,
4.037352s,10.1.3.1,10.2.3.1,1502,1428
4.037355s,10.2.3.1,10.1.3.1,62,
4.037472s,10.1.3.1,10.2.3.1,1502,1428
4.037475s,10.2.3.1,10.1.3.1,62,
4.037593s,10.1.3.1,10.2.3.1,1502,1428
4.037595s,10.2.3.1,10.1.3.1,62,
4.037713s,10.1.3.1,10.2.3.1,1502,1428
4.037715s,10.2.3.1,10.1.3.1,62,
4.037833s,10.1.3.1,10.2.3.1,1502,1428
4.037835s,10.2.3.1,10.1.3.1,62,
4.037953s,10.1.3.1,10.2.3.1,1502,1428
4.037955s,10.2.3.1,10.1.3.1,62,
4.038073s,10.1.3.1,10.2.3.1,1502,1428
4.038076s,10.2.3.1,10.1.3.1,62,
4.038193s,10.1.3.1,10.2.3.1,1502,1428
4.038196s,10.2.3.1,10.1.3.1,62,
4.038314s,10.1.3.1,10.2.3.1,1502,1428
4.038316s,10.2.3.1,10.1.3.1,62,
4.038434s,10.1.3.1,10.2.3.1,1502,1428
4.038436s,10.2.3.1,10.1.3.1,62,
4.038554s,10.1.3.1,10.2.3.1,1502,1428
4.038556s,10.2.3.1,10.1.3.1,62,
4.038674s,10.1.3.1,10.2.3.1,1502,1428
4.038676s,10.2.3.1,10.1.3.1,62,
4.038794s,10.1.3.1,10.2.3.1,1502,1428
4.038797s,10.2.3.1,10.1.3.1,62,
4.038914s,10.1.3.1,10.2.3.1,1502,1428
4.038917s,10.2.3.1,10.1.3.1,62,
4.039035s,10.1.3.1,10.2.3.1,1502,1428
4.039037s,10.2.3.1,10.1.3.1,62,
4.039155s,10.1.3.1,10.2.3.1,1502,1428
4.039157s,10.2.3.1,10.1.3.1,62,
4.039275s,10.1.3.1,10.2.3.1,1502,1428
4.039277s,10.2.3.1,10.1.3.1,62,
4.039395s,10.1.3.1,10.2.3.1,1502,1428
4.039397s,10.2.3.1,10.1.3.1,62,
4.039515s,10.1.3.1,10.2.3.1,1502,1428
4.039518s,10.2.3.1,10.1.3.1,62,
4.039635s,10.1.3.1,10.2.3.1,1502,1428
4.039638s,10.2.3.1,10.1.3.1,62,
4.039756s,10.1.3.1,10.2.3.1,1502,1428
4.039758s,10.2.3.1,10.1.3.1,62,
4.039876s,10.1.3.1,10.2.3.1,1502,1428
4.039878s,10.2.3.1,10.1.3.1,62,
4.039996s,10.1.3.1,10.2.3.1,1502,1428
4.039998s,10.2.3.1,10.1.3.1,62,
4.040116s,10.1.3.1,10.2.3.1,1502,1428
4.040118s,10.2.3.1,10.1.3.1,62,
4.040236s,10.1.3.1,10.2.3.1,1502,1428
4.040238s,10.2.3.1,10.1.3.1,62,
4.040356s,10.1.3.1,10.2.3.1,1502,1428
4.040359s,10.2.3.1,10.1.3.1,62,
4.040476s,10.1.3.1,10.2.3.1,1502,1428
4.040479s,10.2.3.1,10.1.3.1,62,
4.040597s,10.1.3.1,10.2.3.1,1502,1428
4.040599s,10.2.3.1,10.1.3.1,62,
4.040717s,10.1.3.1,10.2.3.1,1502,1428
4.040719s,10.2.3.1,10.1.3.1,62,
4.040837s,10.1.3.1,10.2.3.1,1502,1428
4.040839s,10.2.3.1,10.1.3.1,62,
4.040957s,10.1.3.1,10.2.3.1,1502,1428
4.041077s,10.1.3.1,10.2.3.1,1502,1428
4.041080s,10.2.3.1,10.1.3.1,62,
4.041197s,10.1.3.1,10.2.3.1,1502,1428
4.041318s,10.1.3.1,10.2.3.1,1502,1428
4.041320s,10.2.3.1,10.1.3.1,62,
4.041438s,10.1.3.1,10.2.3.1,1502,1428
4.041558s,10.1.3.1,10.2.3.1,1502,1428
