"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"82","12.243041s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","2","50681","","130432","49200 > 33947 [ACK] Seq=2 Ack=50681 Win=130432 Len=0 TSval=4226904 TSecr=127201307"
"83","12.243040s","- 0.000001s","192.168.0.41","192.168.0.42","TCP","1514","60817","2","11584","29312","33947 > 49200 [ACK] Seq=60817 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"84","12.243045s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","62265","2","13032","29312","33947 > 49200 [ACK] Seq=62265 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"85","12.243047s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","2","52129","","133248","49200 > 33947 [ACK] Seq=2 Ack=52129 Win=133248 Len=0 TSval=4226904 TSecr=127201307"
"86","12.243050s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","63713","2","13032","29312","33947 > 49200 [ACK] Seq=63713 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"87","12.243054s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","53577","","136192","49200 > 33947 [ACK] Seq=2 Ack=53577 Win=136192 Len=0 TSval=4226904 TSecr=127201307"
"88","12.243061s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","2","55025","","139008","49200 > 33947 [ACK] Seq=2 Ack=55025 Win=139008 Len=0 TSval=4226904 TSecr=127201307"
"89","12.243069s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","2","56473","","141952","49200 > 33947 [ACK] Seq=2 Ack=56473 Win=141952 Len=0 TSval=4226904 TSecr=127201307"
"90","12.243077s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","2","57921","","144896","49200 > 33947 [ACK] Seq=2 Ack=57921 Win=144896 Len=0 TSval=4226904 TSecr=127201307"
"91","12.243086s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","2","59369","","147712","49200 > 33947 [ACK] Seq=2 Ack=59369 Win=147712 Len=0 TSval=4226904 TSecr=127201307"
"92","12.243095s","0.000009s","192.168.0.41","192.168.0.42","TCP","1514","65161","2","7240","29312","33947 > 49200 [ACK] Seq=65161 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"93","12.243097s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","2","60817","","150656","49200 > 33947 [ACK] Seq=2 Ack=60817 Win=150656 Len=0 TSval=4226904 TSecr=127201307"
"94","12.243102s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","66609","2","7240","29312","33947 > 49200 [ACK] Seq=66609 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"95","12.243103s","0.000001s","192.168.0.42","192.168.0.41","TCP","66","2","62265","","153600","49200 > 33947 [ACK] Seq=2 Ack=62265 Win=153600 Len=0 TSval=4226904 TSecr=127201307"
"96","12.243108s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","68057","2","7240","29312","33947 > 49200 [ACK] Seq=68057 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"97","12.243111s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","2","63713","","156416","49200 > 33947 [ACK] Seq=2 Ack=63713 Win=156416 Len=0 TSval=4226904 TSecr=127201307"
"98","12.243112s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","69505","2","7240","29312","33947 > 49200 [ACK] Seq=69505 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"99","12.243117s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","70953","2","8688","29312","33947 > 49200 [ACK] Seq=70953 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
