"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"1754","1.743367","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=29073 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1756","1.743488","0.000010","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=30501 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1758","1.743728","0.000120","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=29073 Win=5840 Len=0 TSval=435 TSecr=435"
"1759","1.743728","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=31929 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1760","1.743848","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=33357 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1767","1.745020","0.000020","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=31929 Win=5840 Len=0 TSval=436 TSecr=435"
"1768","1.745020","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=34785 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1769","1.745140","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=36213 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1770","1.745454","0.000314","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=34785 Win=5840 Len=0 TSval=436 TSecr=435"
"1771","1.745454","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=37641 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1773","1.745574","0.000115","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=39069 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1779","1.746598","0.000448","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=37641 Win=5840 Len=0 TSval=436 TSecr=436"
"1780","1.746598","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=40497 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1781","1.746718","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=41925 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1786","1.747130","0.000005","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=40497 Win=5840 Len=0 TSval=436 TSecr=436"
"1787","1.747130","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=43353 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1788","1.747250","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=44781 Ack=1 Win=14600 Len=1428 TSval=436 TSecr=436"
"1793","1.748119","0.000054","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=43353 Win=5840 Len=0 TSval=436 TSecr=436"
