Time,Source,Destination,Length,data len
4.051416s,10.2.2.1,10.1.2.1,62,
4.051416s,10.1.2.1,10.2.2.1,1502,1428
4.051778s,10.2.2.1,10.1.2.1,62,
4.051778s,10.1.2.1,10.2.2.1,1502,1428
4.052141s,10.2.2.1,10.1.2.1,62,
4.052141s,10.1.2.1,10.2.2.1,1502,1428
4.052504s,10.2.2.1,10.1.2.1,62,
4.052504s,10.1.2.1,10.2.2.1,1502,1428
4.052867s,10.2.2.1,10.1.2.1,62,
4.052867s,10.1.2.1,10.2.2.1,1502,1428
4.053230s,10.2.2.1,10.1.2.1,62,
4.053230s,10.1.2.1,10.2.2.1,1502,1428
4.053592s,10.2.2.1,10.1.2.1,62,
4.053592s,10.1.2.1,10.2.2.1,1502,1428
4.053955s,10.2.2.1,10.1.2.1,62,
4.053955s,10.1.2.1,10.2.2.1,1502,1428
4.054318s,10.2.2.1,10.1.2.1,62,
4.054318s,10.1.2.1,10.2.2.1,1502,1428
4.054681s,10.2.2.1,10.1.2.1,62,
4.054681s,10.1.2.1,10.2.2.1,1502,1428
4.055044s,10.2.2.1,10.1.2.1,62,
4.055044s,10.1.2.1,10.2.2.1,1502,1428
4.055406s,10.2.2.1,10.1.2.1,62,
4.055406s,10.1.2.1,10.2.2.1,1502,1428
4.055769s,10.2.2.1,10.1.2.1,62,
4.055769s,10.1.2.1,10.2.2.1,1502,1428
4.056132s,10.2.2.1,10.1.2.1,62,
4.056132s,10.1.2.1,10.2.2.1,1502,1428
4.056495s,10.2.2.1,10.1.2.1,62,
4.056495s,10.1.2.1,10.2.2.1,1502,1428
4.056858s,10.2.2.1,10.1.2.1,62,
4.056858s,10.1.2.1,10.2.2.1,1502,1428
4.057220s,10.2.2.1,10.1.2.1,62,
4.057220s,10.1.2.1,10.2.2.1,1502,1428
4.057583s,10.2.2.1,10.1.2.1,62,
4.057583s,10.1.2.1,10.2.2.1,1502,1428
4.057946s,10.2.2.1,10.1.2.1,62,
4.057946s,10.1.2.1,10.2.2.1,1502,1428
4.058309s,10.2.2.1,10.1.2.1,62,
4.058309s,10.1.2.1,10.2.2.1,1502,1428
4.058672s,10.2.2.1,10.1.2.1,62,
4.058672s,10.1.2.1,10.2.2.1,1502,1428
4.059034s,10.2.2.1,10.1.2.1,62,
4.059034s,10.1.2.1,10.2.2.1,1502,1428
4.059397s,10.2.2.1,10.1.2.1,62,
4.059397s,10.1.2.1,10.2.2.1,1502,1428
4.059760s,10.2.2.1,10.1.2.1,62,
4.059760s,10.1.2.1,10.2.2.1,1502,1428
4.060123s,10.2.2.1,10.1.2.1,62,
4.060123s,10.1.2.1,10.2.2.1,1502,1428
4.060486s,10.2.2.1,10.1.2.1,62,
4.060486s,10.1.2.1,10.2.2.1,1502,1428
4.060848s,10.2.2.1,10.1.2.1,62,
4.060848s,10.1.2.1,10.2.2.1,1502,1428
4.061211s,10.2.2.1,10.1.2.1,62,
4.061211s,10.1.2.1,10.2.2.1,1502,1428
4.061574s,10.2.2.1,10.1.2.1,62,
4.061574s,10.1.2.1,10.2.2.1,1502,1428
4.061937s,10.2.2.1,10.1.2.1,62,
4.061937s,10.1.2.1,10.2.2.1,1502,1428
4.062300s,10.2.2.1,10.1.2.1,62,
4.062300s,10.1.2.1,10.2.2.1,1502,1428
4.062662s,10.2.2.1,10.1.2.1,62,
4.062662s,10.1.2.1,10.2.2.1,1502,1428
4.063025s,10.2.2.1,10.1.2.1,62,
4.063025s,10.1.2.1,10.2.2.1,1502,1428
4.063388s,10.2.2.1,10.1.2.1,62,
4.063388s,10.1.2.1,10.2.2.1,1502,1428
4.063751s,10.2.2.1,10.1.2.1,62,
4.063751s,10.1.2.1,10.2.2.1,1502,1428
4.064114s,10.2.2.1,10.1.2.1,62,
4.064114s,10.1.2.1,10.2.2.1,1502,1428
4.064476s,10.2.2.1,10.1.2.1,62,
4.064476s,10.1.2.1,10.2.2.1,1502,1428
4.064839s,10.2.2.1,10.1.2.1,62,
4.064839s,10.1.2.1,10.2.2.1,1502,1428
4.065202s,10.2.2.1,10.1.2.1,62,
4.065202s,10.1.2.1,10.2.2.1,1502,1428
4.065565s,10.2.2.1,10.1.2.1,62,
4.065565s,10.1.2.1,10.2.2.1,1502,1428
4.065928s,10.2.2.1,10.1.2.1,62,
4.065928s,10.1.2.1,10.2.2.1,1502,1428
4.066290s,10.2.2.1,10.1.2.1,62,
4.066290s,10.1.2.1,10.2.2.1,1502,1428
4.066653s,10.2.2.1,10.1.2.1,62,
4.066653s,10.1.2.1,10.2.2.1,1502,1428
4.067016s,10.2.2.1,10.1.2.1,62,
4.067016s,10.1.2.1,10.2.2.1,1502,1428
4.067379s,10.2.2.1,10.1.2.1,62,
4.067379s,10.1.2.1,10.2.2.1,1502,1428
4.067742s,10.2.2.1,10.1.2.1,62,
4.067742s,10.1.2.1,10.2.2.1,1502,1428
4.068105s,10.2.2.1,10.1.2.1,62,
4.068105s,10.1.2.1,10.2.2.1,1502,1428
4.068467s,10.2.2.1,10.1.2.1,62,
4.068467s,10.1.2.1,10.2.2.1,1502,1428
4.068830s,10.2.2.1,10.1.2.1,62,
4.068830s,10.1.2.1,10.2.2.1,1502,1428
4.069193s,10.2.2.1,10.1.2.1,62,
4.069193s,10.1.2.1,10.2.2.1,1502,1428
