Time,Source,Destination,Length,data len
5.164617s,10.1.1.1,10.2.1.1,1502,1428
5.164737s,10.1.1.1,10.2.1.1,1502,1428
5.164739s,10.2.1.1,10.1.1.1,62,
5.164857s,10.1.1.1,10.2.1.1,1502,1428
5.164977s,10.1.1.1,10.2.1.1,1502,1428
5.164980s,10.2.1.1,10.1.1.1,62,
5.165098s,10.1.1.1,10.2.1.1,1502,1428
5.165218s,10.1.1.1,10.2.1.1,1502,1428
5.165220s,10.2.1.1,10.1.1.1,62,
5.165338s,10.1.1.1,10.2.1.1,1502,1428
5.165458s,10.1.1.1,10.2.1.1,1502,1428
5.165460s,10.2.1.1,10.1.1.1,62,
5.165578s,10.1.1.1,10.2.1.1,1502,1428
5.165698s,10.1.1.1,10.2.1.1,1502,1428
5.165701s,10.2.1.1,10.1.1.1,62,
5.165819s,10.1.1.1,10.2.1.1,1502,1428
5.165939s,10.1.1.1,10.2.1.1,1502,1428
5.165941s,10.2.1.1,10.1.1.1,62,
5.166059s,10.1.1.1,10.2.1.1,1502,1428
5.166179s,10.1.1.1,10.2.1.1,1502,1428
5.166181s,10.2.1.1,10.1.1.1,62,
5.166299s,10.1.1.1,10.2.1.1,1502,1428
5.166419s,10.1.1.1,10.2.1.1,1502,1428
5.166422s,10.2.1.1,10.1.1.1,62,
5.166540s,10.1.1.1,10.2.1.1,1502,1428
5.166660s,10.1.1.1,10.2.1.1,1502,1428
5.166662s,10.2.1.1,10.1.1.1,62,
5.166780s,10.1.1.1,10.2.1.1,1502,1428
5.166782s,10.2.1.1,10.1.1.1,62,
5.166900s,10.1.1.1,10.2.1.1,1502,1428
5.166902s,10.2.1.1,10.1.1.1,62,
5.167020s,10.1.1.1,10.2.1.1,1502,1428
5.167022s,10.2.1.1,10.1.1.1,62,
5.167140s,10.1.1.1,10.2.1.1,1502,1428
5.167143s,10.2.1.1,10.1.1.1,62,
5.167260s,10.1.1.1,10.2.1.1,1502,1428
5.167263s,10.2.1.1,10.1.1.1,62,
5.167381s,10.1.1.1,10.2.1.1,1502,1428
5.167383s,10.2.1.1,10.1.1.1,62,
5.167501s,10.1.1.1,10.2.1.1,1502,1428
5.167503s,10.2.1.1,10.1.1.1,62,
5.167621s,10.1.1.1,10.2.1.1,1502,1428
5.167623s,10.2.1.1,10.1.1.1,62,
5.167741s,10.1.1.1,10.2.1.1,1502,1428
5.167743s,10.2.1.1,10.1.1.1,62,
5.167861s,10.1.1.1,10.2.1.1,1502,1428
5.167864s,10.2.1.1,10.1.1.1,62,
5.167981s,10.1.1.1,10.2.1.1,1502,1428
5.167984s,10.2.1.1,10.1.1.1,62,
5.168102s,10.1.1.1,10.2.1.1,1502,1428
5.168104s,10.2.1.1,10.1.1.1,62,
5.168222s,10.1.1.1,10.2.1.1,1502,1428
5.168224s,10.2.1.1,10.1.1.1,62,
5.168342s,10.1.1.1,10.2.1.1,1502,1428
5.168462s,10.1.1.1,10.2.1.1,1502,1428
