Time,Source,Destination,Length,data len
5.049537s,10.1.2.1,10.2.2.1,1502,1428
5.049539s,10.2.2.1,10.1.2.1,62,
5.049657s,10.1.2.1,10.2.2.1,1502,1428
5.049777s,10.1.2.1,10.2.2.1,1502,1428
5.049779s,10.2.2.1,10.1.2.1,62,
5.049897s,10.1.2.1,10.2.2.1,1502,1428
5.050017s,10.1.2.1,10.2.2.1,1502,1428
5.050019s,10.2.2.1,10.1.2.1,62,
5.050137s,10.1.2.1,10.2.2.1,1502,1428
5.050257s,10.1.2.1,10.2.2.1,1502,1428
5.050260s,10.2.2.1,10.1.2.1,62,
5.050378s,10.1.2.1,10.2.2.1,1502,1428
5.050498s,10.1.2.1,10.2.2.1,1502,1428
5.050500s,10.2.2.1,10.1.2.1,62,
5.050618s,10.1.2.1,10.2.2.1,1502,1428
5.050738s,10.1.2.1,10.2.2.1,1502,1428
5.050740s,10.2.2.1,10.1.2.1,62,
5.050858s,10.1.2.1,10.2.2.1,1502,1428
5.050978s,10.1.2.1,10.2.2.1,1502,1428
5.050981s,10.2.2.1,10.1.2.1,62,
5.051099s,10.1.2.1,10.2.2.1,1502,1428
5.051219s,10.1.2.1,10.2.2.1,1502,1428
5.051221s,10.2.2.1,10.1.2.1,62,
5.051339s,10.1.2.1,10.2.2.1,1502,1428
5.051459s,10.1.2.1,10.2.2.1,1502,1428
5.051461s,10.2.2.1,10.1.2.1,62,
5.051579s,10.1.2.1,10.2.2.1,1502,1428
5.051699s,10.1.2.1,10.2.2.1,1502,1428
5.051702s,10.2.2.1,10.1.2.1,62,
5.051820s,10.1.2.1,10.2.2.1,1502,1428
5.051940s,10.1.2.1,10.2.2.1,1502,1428
5.051942s,10.2.2.1,10.1.2.1,62,
5.052060s,10.1.2.1,10.2.2.1,1502,1428
5.052180s,10.1.2.1,10.2.2.1,1502,1428
5.052182s,10.2.2.1,10.1.2.1,62,
5.052300s,10.1.2.1,10.2.2.1,1502,1428
5.052420s,10.1.2.1,10.2.2.1,1502,1428
5.052423s,10.2.2.1,10.1.2.1,62,
5.052541s,10.1.2.1,10.2.2.1,1502,1428
5.052661s,10.1.2.1,10.2.2.1,1502,1428
5.052663s,10.2.2.1,10.1.2.1,62,
5.052781s,10.1.2.1,10.2.2.1,1502,1428
5.052901s,10.1.2.1,10.2.2.1,1502,1428
5.052903s,10.2.2.1,10.1.2.1,62,
5.053021s,10.1.2.1,10.2.2.1,1502,1428
5.053141s,10.1.2.1,10.2.2.1,1502,1428
5.053144s,10.2.2.1,10.1.2.1,62,
5.053261s,10.1.2.1,10.2.2.1,1502,1428
5.053382s,10.1.2.1,10.2.2.1,1502,1428
5.053384s,10.2.2.1,10.1.2.1,62,
5.053502s,10.1.2.1,10.2.2.1,1502,1428
5.053622s,10.1.2.1,10.2.2.1,1502,1428
5.053624s,10.2.2.1,10.1.2.1,62,
5.053742s,10.1.2.1,10.2.2.1,1502,1428
5.053862s,10.1.2.1,10.2.2.1,1502,1428
5.053865s,10.2.2.1,10.1.2.1,62,
5.053982s,10.1.2.1,10.2.2.1,1502,1428
5.054103s,10.1.2.1,10.2.2.1,1502,1428
5.054105s,10.2.2.1,10.1.2.1,62,
5.054223s,10.1.2.1,10.2.2.1,1502,1428
5.054343s,10.1.2.1,10.2.2.1,1502,1428
5.054345s,10.2.2.1,10.1.2.1,62,
5.054463s,10.1.2.1,10.2.2.1,1502,1428
5.054583s,10.1.2.1,10.2.2.1,1502,1428
5.054586s,10.2.2.1,10.1.2.1,62,
5.054703s,10.1.2.1,10.2.2.1,1502,1428
5.054824s,10.1.2.1,10.2.2.1,1502,1428
5.054826s,10.2.2.1,10.1.2.1,62,
5.054944s,10.1.2.1,10.2.2.1,1502,1428
5.055064s,10.1.2.1,10.2.2.1,1502,1428
5.055066s,10.2.2.1,10.1.2.1,62,
5.055184s,10.1.2.1,10.2.2.1,1502,1428
5.055304s,10.1.2.1,10.2.2.1,1502,1428
5.055307s,10.2.2.1,10.1.2.1,62,
5.055424s,10.1.2.1,10.2.2.1,1502,1428
5.055545s,10.1.2.1,10.2.2.1,1502,1428
5.055547s,10.2.2.1,10.1.2.1,62,
5.055665s,10.1.2.1,10.2.2.1,1502,1428
5.055785s,10.1.2.1,10.2.2.1,1502,1428
5.055787s,10.2.2.1,10.1.2.1,62,
5.055905s,10.1.2.1,10.2.2.1,1502,1428
5.056025s,10.1.2.1,10.2.2.1,1502,1428
5.056027s,10.2.2.1,10.1.2.1,62,
5.056145s,10.1.2.1,10.2.2.1,1502,1428
5.056265s,10.1.2.1,10.2.2.1,1502,1428
5.056268s,10.2.2.1,10.1.2.1,62,
5.056386s,10.1.2.1,10.2.2.1,1502,1428
5.056506s,10.1.2.1,10.2.2.1,1502,1428
5.056508s,10.2.2.1,10.1.2.1,62,
5.056626s,10.1.2.1,10.2.2.1,1502,1428
5.056746s,10.1.2.1,10.2.2.1,1502,1428
5.056748s,10.2.2.1,10.1.2.1,62,
5.056866s,10.1.2.1,10.2.2.1,1502,1428
5.056986s,10.1.2.1,10.2.2.1,1502,1428
5.056989s,10.2.2.1,10.1.2.1,62,
5.057107s,10.1.2.1,10.2.2.1,1502,1428
5.057227s,10.1.2.1,10.2.2.1,1502,1428
5.057229s,10.2.2.1,10.1.2.1,62,
5.057347s,10.1.2.1,10.2.2.1,1502,1428
5.057467s,10.1.2.1,10.2.2.1,1502,1428
5.057469s,10.2.2.1,10.1.2.1,62,
5.057587s,10.1.2.1,10.2.2.1,1502,1428
5.057707s,10.1.2.1,10.2.2.1,1502,1428
