Time,Source,Destination,Length,data len
4.050607s,10.1.1.1,10.2.1.1,1502,1428
4.050610s,10.2.1.1,10.1.1.1,62,
4.050728s,10.1.1.1,10.2.1.1,1502,1428
4.050730s,10.2.1.1,10.1.1.1,62,
4.050848s,10.1.1.1,10.2.1.1,1502,1428
4.050850s,10.2.1.1,10.1.1.1,62,
4.050968s,10.1.1.1,10.2.1.1,1502,1428
4.050970s,10.2.1.1,10.1.1.1,62,
4.051088s,10.1.1.1,10.2.1.1,1502,1428
4.051090s,10.2.1.1,10.1.1.1,62,
4.051208s,10.1.1.1,10.2.1.1,1502,1428
4.051210s,10.2.1.1,10.1.1.1,62,
4.051328s,10.1.1.1,10.2.1.1,1502,1428
4.051331s,10.2.1.1,10.1.1.1,62,
4.051448s,10.1.1.1,10.2.1.1,1502,1428
4.051451s,10.2.1.1,10.1.1.1,62,
4.051569s,10.1.1.1,10.2.1.1,1502,1428
4.051571s,10.2.1.1,10.1.1.1,62,
4.051689s,10.1.1.1,10.2.1.1,1502,1428
4.051691s,10.2.1.1,10.1.1.1,62,
4.051809s,10.1.1.1,10.2.1.1,1502,1428
4.051811s,10.2.1.1,10.1.1.1,62,
4.051929s,10.1.1.1,10.2.1.1,1502,1428
4.051931s,10.2.1.1,10.1.1.1,62,
4.052049s,10.1.1.1,10.2.1.1,1502,1428
4.052052s,10.2.1.1,10.1.1.1,62,
4.052169s,10.1.1.1,10.2.1.1,1502,1428
4.052172s,10.2.1.1,10.1.1.1,62,
4.052290s,10.1.1.1,10.2.1.1,1502,1428
4.052292s,10.2.1.1,10.1.1.1,62,
4.052410s,10.1.1.1,10.2.1.1,1502,1428
4.052412s,10.2.1.1,10.1.1.1,62,
4.052530s,10.1.1.1,10.2.1.1,1502,1428
4.052532s,10.2.1.1,10.1.1.1,62,
4.052650s,10.1.1.1,10.2.1.1,1502,1428
4.052652s,10.2.1.1,10.1.1.1,62,
4.052770s,10.1.1.1,10.2.1.1,1502,1428
4.052773s,10.2.1.1,10.1.1.1,62,
4.052890s,10.1.1.1,10.2.1.1,1502,1428
4.052893s,10.2.1.1,10.1.1.1,62,
4.053011s,10.1.1.1,10.2.1.1,1502,1428
4.053013s,10.2.1.1,10.1.1.1,62,
4.053131s,10.1.1.1,10.2.1.1,1502,1428
4.053133s,10.2.1.1,10.1.1.1,62,
4.053251s,10.1.1.1,10.2.1.1,1502,1428
4.053253s,10.2.1.1,10.1.1.1,62,
4.053371s,10.1.1.1,10.2.1.1,1502,1428
4.053373s,10.2.1.1,10.1.1.1,62,
4.053491s,10.1.1.1,10.2.1.1,1502,1428
4.053494s,10.2.1.1,10.1.1.1,62,
4.053611s,10.1.1.1,10.2.1.1,1502,1428
4.053614s,10.2.1.1,10.1.1.1,62,
4.053732s,10.1.1.1,10.2.1.1,1502,1428
4.053734s,10.2.1.1,10.1.1.1,62,
4.053852s,10.1.1.1,10.2.1.1,1502,1428
4.053854s,10.2.1.1,10.1.1.1,62,
4.053972s,10.1.1.1,10.2.1.1,1502,1428
4.053974s,10.2.1.1,10.1.1.1,62,
4.054092s,10.1.1.1,10.2.1.1,1502,1428
4.054094s,10.2.1.1,10.1.1.1,62,
4.054212s,10.1.1.1,10.2.1.1,1502,1428
4.054214s,10.2.1.1,10.1.1.1,62,
4.054332s,10.1.1.1,10.2.1.1,1502,1428
4.054335s,10.2.1.1,10.1.1.1,62,
4.054452s,10.1.1.1,10.2.1.1,1502,1428
4.054455s,10.2.1.1,10.1.1.1,62,
4.054573s,10.1.1.1,10.2.1.1,1502,1428
4.054575s,10.2.1.1,10.1.1.1,62,
4.054693s,10.1.1.1,10.2.1.1,1502,1428
4.054695s,10.2.1.1,10.1.1.1,62,
4.054813s,10.1.1.1,10.2.1.1,1502,1428
4.054815s,10.2.1.1,10.1.1.1,62,
4.054933s,10.1.1.1,10.2.1.1,1502,1428
4.054935s,10.2.1.1,10.1.1.1,62,
4.055053s,10.1.1.1,10.2.1.1,1502,1428
4.055056s,10.2.1.1,10.1.1.1,62,
4.055173s,10.1.1.1,10.2.1.1,1502,1428
4.055176s,10.2.1.1,10.1.1.1,62,
4.055294s,10.1.1.1,10.2.1.1,1502,1428
4.055296s,10.2.1.1,10.1.1.1,62,
4.055414s,10.1.1.1,10.2.1.1,1502,1428
4.055416s,10.2.1.1,10.1.1.1,62,
4.055534s,10.1.1.1,10.2.1.1,1502,1428
4.055536s,10.2.1.1,10.1.1.1,62,
4.055654s,10.1.1.1,10.2.1.1,1502,1428
4.055656s,10.2.1.1,10.1.1.1,62,
4.055774s,10.1.1.1,10.2.1.1,1502,1428
4.055777s,10.2.1.1,10.1.1.1,62,
4.055894s,10.1.1.1,10.2.1.1,1502,1428
4.055897s,10.2.1.1,10.1.1.1,62,
4.056015s,10.1.1.1,10.2.1.1,1502,1428
4.056017s,10.2.1.1,10.1.1.1,62,
4.056135s,10.1.1.1,10.2.1.1,1502,1428
4.056137s,10.2.1.1,10.1.1.1,62,
4.056255s,10.1.1.1,10.2.1.1,1502,1428
4.056257s,10.2.1.1,10.1.1.1,62,
4.056375s,10.1.1.1,10.2.1.1,1502,1428
4.056377s,10.2.1.1,10.1.1.1,62,
4.056495s,10.1.1.1,10.2.1.1,1502,1428
4.056498s,10.2.1.1,10.1.1.1,62,
4.056615s,10.1.1.1,10.2.1.1,1502,1428
4.056618s,10.2.1.1,10.1.1.1,62,
4.056736s,10.1.1.1,10.2.1.1,1502,1428
4.056738s,10.2.1.1,10.1.1.1,62,
4.056856s,10.1.1.1,10.2.1.1,1502,1428
4.056858s,10.2.1.1,10.1.1.1,62,
4.056976s,10.1.1.1,10.2.1.1,1502,1428
4.056978s,10.2.1.1,10.1.1.1,62,
4.057096s,10.1.1.1,10.2.1.1,1502,1428
4.057098s,10.2.1.1,10.1.1.1,62,
4.057216s,10.1.1.1,10.2.1.1,1502,1428
4.057218s,10.2.1.1,10.1.1.1,62,
4.057336s,10.1.1.1,10.2.1.1,1502,1428
4.057339s,10.2.1.1,10.1.1.1,62,
4.057456s,10.1.1.1,10.2.1.1,1502,1428
