"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"3369","1.376453s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","664633","","165120","49203 > 46745 [ACK] Seq=2 Ack=664633 Win=165120 Len=0 TSval=188776 TSecr=166833"
"3370","1.376457s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","664633","2","1448","29312","46745 > 49203 [ACK] Seq=664633 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3371","1.376469s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","666081","","168064","49203 > 46745 [ACK] Seq=2 Ack=666081 Win=168064 Len=0 TSval=188776 TSecr=166833"
"3372","1.376473s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","666081","2","1448","29312","46745 > 49203 [ACK] Seq=666081 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3373","1.376486s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","667529","","170880","49203 > 46745 [ACK] Seq=2 Ack=667529 Win=170880 Len=0 TSval=188776 TSecr=166833"
"3374","1.376490s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","667529","2","1448","29312","46745 > 49203 [ACK] Seq=667529 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3375","1.376502s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","668977","","173824","49203 > 46745 [ACK] Seq=2 Ack=668977 Win=173824 Len=0 TSval=188776 TSecr=166833"
"3376","1.376506s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","668977","2","1448","29312","46745 > 49203 [ACK] Seq=668977 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3377","1.376517s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","670425","","176768","49203 > 46745 [ACK] Seq=2 Ack=670425 Win=176768 Len=0 TSval=188776 TSecr=166833"
"3378","1.376521s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","670425","2","1448","29312","46745 > 49203 [ACK] Seq=670425 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3379","1.376535s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","671873","","179584","49203 > 46745 [ACK] Seq=2 Ack=671873 Win=179584 Len=0 TSval=188776 TSecr=166833"
"3380","1.376539s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","671873","2","1448","29312","46745 > 49203 [ACK] Seq=671873 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3381","1.376550s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","673321","","182528","49203 > 46745 [ACK] Seq=2 Ack=673321 Win=182528 Len=0 TSval=188776 TSecr=166833"
"3382","1.376554s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","673321","2","1448","29312","46745 > 49203 [ACK] Seq=673321 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3383","1.376566s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","674769","","185344","49203 > 46745 [ACK] Seq=2 Ack=674769 Win=185344 Len=0 TSval=188776 TSecr=166833"
"3384","1.376570s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","674769","2","1448","29312","46745 > 49203 [ACK] Seq=674769 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3385","1.376581s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","676217","","188288","49203 > 46745 [ACK] Seq=2 Ack=676217 Win=188288 Len=0 TSval=188776 TSecr=166833"
"3386","1.376588s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","676217","2","1448","29312","46745 > 49203 [ACK] Seq=676217 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3387","1.376602s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","677665","","191232","49203 > 46745 [ACK] Seq=2 Ack=677665 Win=191232 Len=0 TSval=188776 TSecr=166833"
"3388","1.376607s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","677665","2","1448","29312","46745 > 49203 [ACK] Seq=677665 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3389","1.376618s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","679113","","194048","49203 > 46745 [ACK] Seq=2 Ack=679113 Win=194048 Len=0 TSval=188776 TSecr=166833"
"3390","1.376622s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","679113","2","1448","29312","46745 > 49203 [ACK] Seq=679113 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3391","1.376635s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","680561","","196992","49203 > 46745 [ACK] Seq=2 Ack=680561 Win=196992 Len=0 TSval=188776 TSecr=166833"
"3392","1.376640s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","680561","2","1448","29312","46745 > 49203 [ACK] Seq=680561 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3393","1.376652s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","682009","","199936","49203 > 46745 [ACK] Seq=2 Ack=682009 Win=199936 Len=0 TSval=188776 TSecr=166833"
"3394","1.376657s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","682009","2","1448","29312","46745 > 49203 [ACK] Seq=682009 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3395","1.376668s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","683457","","202752","49203 > 46745 [ACK] Seq=2 Ack=683457 Win=202752 Len=0 TSval=188776 TSecr=166833"
"3396","1.376680s","0.000012s","192.168.0.41","192.168.0.42","TCP","1514","683457","2","1448","29312","46745 > 49203 [PSH, ACK] Seq=683457 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3397","1.376697s","0.000017s","192.168.0.42","192.168.0.41","TCP","66","2","684905","","205696","49203 > 46745 [ACK] Seq=2 Ack=684905 Win=205696 Len=0 TSval=188776 TSecr=166833"
"3398","1.376701s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","684905","2","1448","29312","46745 > 49203 [ACK] Seq=684905 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3399","1.376713s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","686353","","208512","49203 > 46745 [ACK] Seq=2 Ack=686353 Win=208512 Len=0 TSval=188776 TSecr=166833"
"3400","1.376717s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","686353","2","1448","29312","46745 > 49203 [ACK] Seq=686353 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3401","1.376729s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","687801","","211456","49203 > 46745 [ACK] Seq=2 Ack=687801 Win=211456 Len=0 TSval=188776 TSecr=166833"
"3402","1.376736s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","687801","2","1448","29312","46745 > 49203 [ACK] Seq=687801 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3403","1.376750s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","689249","","214400","49203 > 46745 [ACK] Seq=2 Ack=689249 Win=214400 Len=0 TSval=188776 TSecr=166833"
"3404","1.376754s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","689249","2","1448","29312","46745 > 49203 [ACK] Seq=689249 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3405","1.376767s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","690697","","217216","49203 > 46745 [ACK] Seq=2 Ack=690697 Win=217216 Len=0 TSval=188776 TSecr=166833"
"3406","1.376771s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","690697","2","1448","29312","46745 > 49203 [ACK] Seq=690697 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3407","1.376782s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","692145","","220160","49203 > 46745 [ACK] Seq=2 Ack=692145 Win=220160 Len=0 TSval=188776 TSecr=166833"
"3408","1.376789s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","692145","2","1448","29312","46745 > 49203 [ACK] Seq=692145 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3409","1.376801s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","693593","","223104","49203 > 46745 [ACK] Seq=2 Ack=693593 Win=223104 Len=0 TSval=188776 TSecr=166833"
"3410","1.376805s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","693593","2","1448","29312","46745 > 49203 [ACK] Seq=693593 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3411","1.376817s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","695041","","225920","49203 > 46745 [ACK] Seq=2 Ack=695041 Win=225920 Len=0 TSval=188776 TSecr=166833"
"3412","1.376821s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","695041","2","1448","29312","46745 > 49203 [ACK] Seq=695041 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3413","1.376835s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","696489","","228864","49203 > 46745 [ACK] Seq=2 Ack=696489 Win=228864 Len=0 TSval=188776 TSecr=166833"
"3414","1.376839s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","696489","2","1448","29312","46745 > 49203 [ACK] Seq=696489 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3415","1.376851s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","697937","","231680","49203 > 46745 [ACK] Seq=2 Ack=697937 Win=231680 Len=0 TSval=188776 TSecr=166833"
"3416","1.376855s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","697937","2","1448","29312","46745 > 49203 [ACK] Seq=697937 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3417","1.376866s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","699385","","234624","49203 > 46745 [ACK] Seq=2 Ack=699385 Win=234624 Len=0 TSval=188776 TSecr=166833"
"3418","1.376870s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","699385","2","1448","29312","46745 > 49203 [ACK] Seq=699385 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3419","1.376881s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","700833","","237568","49203 > 46745 [ACK] Seq=2 Ack=700833 Win=237568 Len=0 TSval=188776 TSecr=166833"
"3420","1.376888s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","700833","2","1448","29312","46745 > 49203 [PSH, ACK] Seq=700833 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3421","1.376905s","0.000017s","192.168.0.42","192.168.0.41","TCP","66","2","702281","","240384","49203 > 46745 [ACK] Seq=2 Ack=702281 Win=240384 Len=0 TSval=188776 TSecr=166833"
"3422","1.376909s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","702281","2","1448","29312","46745 > 49203 [ACK] Seq=702281 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3423","1.376920s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","703729","","243328","49203 > 46745 [ACK] Seq=2 Ack=703729 Win=243328 Len=0 TSval=188776 TSecr=166833"
"3424","1.376924s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","703729","2","1448","29312","46745 > 49203 [ACK] Seq=703729 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3425","1.376938s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","705177","","246272","49203 > 46745 [ACK] Seq=2 Ack=705177 Win=246272 Len=0 TSval=188776 TSecr=166833"
"3426","1.376942s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","705177","2","1448","29312","46745 > 49203 [ACK] Seq=705177 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3427","1.376954s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","706625","","249088","49203 > 46745 [ACK] Seq=2 Ack=706625 Win=249088 Len=0 TSval=188776 TSecr=166833"
"3428","1.376966s","0.000012s","192.168.0.41","192.168.0.42","TCP","1514","706625","2","1448","29312","46745 > 49203 [ACK] Seq=706625 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3429","1.376980s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","708073","","252032","49203 > 46745 [ACK] Seq=2 Ack=708073 Win=252032 Len=0 TSval=188776 TSecr=166833"
