"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"2792","0.048900s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","354761","2","8688","29312","60973 > 49204 [ACK] Seq=354761 Ack=2 Win=29312 Len=1448 TSval=158637 TSecr=180580"
"2897","0.055479s","0.006579s","192.168.0.42","192.168.0.41","TCP","66","2","356209","","3456","49204 > 60973 [ACK] Seq=2 Ack=356209 Win=3456 Len=0 TSval=180582 TSecr=158637"
"2900","0.055741s","0.000262s","192.168.0.41","192.168.0.42","TCP","1514","356209","2","1448","29312","60973 > 49204 [ACK] Seq=356209 Ack=2 Win=29312 Len=1448 TSval=158638 TSecr=180582"
"2901","0.055749s","0.000008s","192.168.0.41","192.168.0.42","TCP","1514","357657","2","2896","29312","60973 > 49204 [ACK] Seq=357657 Ack=2 Win=29312 Len=1448 TSval=158638 TSecr=180582"
"2966","0.056448s","0.000699s","192.168.0.42","192.168.0.41","TCP","66","2","359105","","1536","49204 > 60973 [ACK] Seq=2 Ack=359105 Win=1536 Len=0 TSval=180582 TSecr=158638"
"3004","0.057025s","0.000577s","192.168.0.41","192.168.0.42","TCP","1514","359105","2","1448","29312","60973 > 49204 [ACK] Seq=359105 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180582"
"3068","0.059427s","0.002402s","192.168.0.42","192.168.0.41","TCP","66","2","360553","","17920","49204 > 60973 [ACK] Seq=2 Ack=360553 Win=17920 Len=0 TSval=180583 TSecr=158639"
"3124","0.060151s","0.000724s","192.168.0.41","192.168.0.42","TCP","1514","360553","2","1448","29312","60973 > 49204 [ACK] Seq=360553 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3125","0.060164s","0.000013s","192.168.0.41","192.168.0.42","TCP","1514","362001","2","2896","29312","60973 > 49204 [ACK] Seq=362001 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3126","0.060169s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","363449","2","4344","29312","60973 > 49204 [ACK] Seq=363449 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3127","0.060172s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","364897","2","5792","29312","60973 > 49204 [ACK] Seq=364897 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3128","0.060176s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","366345","2","7240","29312","60973 > 49204 [ACK] Seq=366345 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3129","0.060179s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","367793","2","8688","29312","60973 > 49204 [PSH, ACK] Seq=367793 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3130","0.060183s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","369241","2","10136","29312","60973 > 49204 [ACK] Seq=369241 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3131","0.060187s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","370689","2","11584","29312","60973 > 49204 [ACK] Seq=370689 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3132","0.060190s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","372137","2","13032","29312","60973 > 49204 [ACK] Seq=372137 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3133","0.060194s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","373585","2","14480","29312","60973 > 49204 [ACK] Seq=373585 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3134","0.060198s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","375033","2","15928","29312","60973 > 49204 [ACK] Seq=375033 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3135","0.060201s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","376481","2","17376","29312","60973 > 49204 [ACK] Seq=376481 Ack=2 Win=29312 Len=1448 TSval=158639 TSecr=180583"
"3212","0.061401s","0.001200s","192.168.0.42","192.168.0.41","TCP","66","2","377929","","6272","49204 > 60973 [ACK] Seq=2 Ack=377929 Win=6272 Len=0 TSval=180583 TSecr=158639"
"3256","0.062002s","0.000601s","192.168.0.41","192.168.0.42","TCP","1514","377929","2","1448","29312","60973 > 49204 [ACK] Seq=377929 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180583"
"3257","0.062008s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","379377","2","2896","29312","60973 > 49204 [ACK] Seq=379377 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180583"
"3258","0.062014s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","380825","2","4344","29312","60973 > 49204 [ACK] Seq=380825 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180583"
"3259","0.062020s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","382273","2","5792","29312","60973 > 49204 [ACK] Seq=382273 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180583"
"3287","0.062414s","0.000394s","192.168.0.42","192.168.0.41","TCP","66","2","383721","","2432","49204 > 60973 [ACK] Seq=2 Ack=383721 Win=2432 Len=0 TSval=180583 TSecr=158640"
"3289","0.062556s","0.000142s","192.168.0.41","192.168.0.42","TCP","1514","383721","2","1448","29312","60973 > 49204 [ACK] Seq=383721 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180583"
"3385","0.063993s","0.001437s","192.168.0.42","192.168.0.41","TCP","66","2","385169","","18944","49204 > 60973 [ACK] Seq=2 Ack=385169 Win=18944 Len=0 TSval=180584 TSecr=158640"
"3413","0.064396s","0.000403s","192.168.0.41","192.168.0.42","TCP","1514","385169","2","1448","29312","60973 > 49204 [ACK] Seq=385169 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3414","0.064401s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","386617","2","2896","29312","60973 > 49204 [ACK] Seq=386617 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3415","0.064406s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","388065","2","4344","29312","60973 > 49204 [ACK] Seq=388065 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3416","0.064415s","0.000009s","192.168.0.41","192.168.0.42","TCP","1514","389513","2","5792","29312","60973 > 49204 [ACK] Seq=389513 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3417","0.064420s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","390961","2","7240","29312","60973 > 49204 [ACK] Seq=390961 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3418","0.064425s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","392409","2","8688","29312","60973 > 49204 [ACK] Seq=392409 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3419","0.064438s","0.000013s","192.168.0.41","192.168.0.42","TCP","1514","393857","2","10136","29312","60973 > 49204 [ACK] Seq=393857 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3420","0.064443s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","395305","2","11584","29312","60973 > 49204 [ACK] Seq=395305 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3421","0.064449s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","396753","2","13032","29312","60973 > 49204 [ACK] Seq=396753 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3422","0.064455s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","398201","2","14480","29312","60973 > 49204 [ACK] Seq=398201 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
"3423","0.064683s","0.000228s","192.168.0.41","192.168.0.42","TCP","1514","399649","2","15928","29312","60973 > 49204 [ACK] Seq=399649 Ack=2 Win=29312 Len=1448 TSval=158640 TSecr=180584"
