"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"64","0.018139s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","34753","2","1448","29312","51213 > 49200 [ACK] Seq=34753 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"65","0.018145s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","36201","","101376","49200 > 51213 [ACK] Seq=2 Ack=36201 Win=101376 Len=0 TSval=29546163 TSecr=29524293"
"66","0.018147s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","36201","2","1448","29312","51213 > 49200 [ACK] Seq=36201 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"67","0.018153s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","37649","","104320","49200 > 51213 [ACK] Seq=2 Ack=37649 Win=104320 Len=0 TSval=29546163 TSecr=29524293"
"68","0.018155s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","37649","2","1448","29312","51213 > 49200 [ACK] Seq=37649 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"69","0.018161s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","39097","","107264","49200 > 51213 [ACK] Seq=2 Ack=39097 Win=107264 Len=0 TSval=29546163 TSecr=29524293"
"70","0.018163s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","39097","2","1448","29312","51213 > 49200 [ACK] Seq=39097 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"71","0.018169s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","40545","","110080","49200 > 51213 [ACK] Seq=2 Ack=40545 Win=110080 Len=0 TSval=29546163 TSecr=29524293"
"72","0.018171s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","40545","2","1448","29312","51213 > 49200 [ACK] Seq=40545 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"73","0.018177s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","41993","","113024","49200 > 51213 [ACK] Seq=2 Ack=41993 Win=113024 Len=0 TSval=29546163 TSecr=29524293"
"74","0.018253s","0.000076s","192.168.0.41","192.168.0.42","TCP","1514","41993","2","1448","29312","51213 > 49200 [ACK] Seq=41993 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"75","0.018266s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","43441","","115840","49200 > 51213 [ACK] Seq=2 Ack=43441 Win=115840 Len=0 TSval=29546163 TSecr=29524293"
"76","0.018268s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","43441","2","1448","29312","51213 > 49200 [ACK] Seq=43441 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"77","0.018275s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","2","44889","","118784","49200 > 51213 [ACK] Seq=2 Ack=44889 Win=118784 Len=0 TSval=29546163 TSecr=29524293"
"78","0.018277s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","44889","2","1448","29312","51213 > 49200 [ACK] Seq=44889 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"79","0.018284s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","2","46337","","121728","49200 > 51213 [ACK] Seq=2 Ack=46337 Win=121728 Len=0 TSval=29546163 TSecr=29524293"
"80","0.018286s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","46337","2","1448","29312","51213 > 49200 [ACK] Seq=46337 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"81","0.018292s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","47785","","124544","49200 > 51213 [ACK] Seq=2 Ack=47785 Win=124544 Len=0 TSval=29546163 TSecr=29524293"
"82","0.018294s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","47785","2","1448","29312","51213 > 49200 [ACK] Seq=47785 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"83","0.018300s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","49233","","127488","49200 > 51213 [ACK] Seq=2 Ack=49233 Win=127488 Len=0 TSval=29546163 TSecr=29524293"
"84","0.018302s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","49233","2","1448","29312","51213 > 49200 [ACK] Seq=49233 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"85","0.018308s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","50681","","130432","49200 > 51213 [ACK] Seq=2 Ack=50681 Win=130432 Len=0 TSval=29546163 TSecr=29524293"
"86","0.018310s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","50681","2","1448","29312","51213 > 49200 [ACK] Seq=50681 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"87","0.018316s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","52129","","133248","49200 > 51213 [ACK] Seq=2 Ack=52129 Win=133248 Len=0 TSval=29546163 TSecr=29524293"
"88","0.018318s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","52129","2","1448","29312","51213 > 49200 [ACK] Seq=52129 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546162"
"89","0.018324s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","53577","","136192","49200 > 51213 [ACK] Seq=2 Ack=53577 Win=136192 Len=0 TSval=29546163 TSecr=29524293"
"90","0.018326s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","53577","2","1448","29312","51213 > 49200 [ACK] Seq=53577 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"91","0.018332s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","55025","","139008","49200 > 51213 [ACK] Seq=2 Ack=55025 Win=139008 Len=0 TSval=29546163 TSecr=29524293"
"92","0.018334s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","55025","2","1448","29312","51213 > 49200 [ACK] Seq=55025 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"93","0.018340s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","56473","","141952","49200 > 51213 [ACK] Seq=2 Ack=56473 Win=141952 Len=0 TSval=29546163 TSecr=29524293"
"94","0.018342s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","56473","2","1448","29312","51213 > 49200 [ACK] Seq=56473 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"95","0.018348s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","57921","","144896","49200 > 51213 [ACK] Seq=2 Ack=57921 Win=144896 Len=0 TSval=29546163 TSecr=29524293"
"96","0.018350s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","57921","2","1448","29312","51213 > 49200 [ACK] Seq=57921 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"97","0.018356s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","59369","","147712","49200 > 51213 [ACK] Seq=2 Ack=59369 Win=147712 Len=0 TSval=29546163 TSecr=29524293"
"98","0.018358s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","59369","2","1448","29312","51213 > 49200 [ACK] Seq=59369 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"99","0.018364s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","60817","","150656","49200 > 51213 [ACK] Seq=2 Ack=60817 Win=150656 Len=0 TSval=29546163 TSecr=29524293"
"100","0.018366s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","60817","2","1448","29312","51213 > 49200 [ACK] Seq=60817 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"101","0.018372s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","62265","","153600","49200 > 51213 [ACK] Seq=2 Ack=62265 Win=153600 Len=0 TSval=29546163 TSecr=29524293"
"102","0.018374s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","62265","2","1448","29312","51213 > 49200 [ACK] Seq=62265 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"103","0.018380s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","63713","","156416","49200 > 51213 [ACK] Seq=2 Ack=63713 Win=156416 Len=0 TSval=29546163 TSecr=29524293"
"104","0.018382s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","63713","2","1448","29312","51213 > 49200 [ACK] Seq=63713 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"105","0.018388s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","65161","","159360","49200 > 51213 [ACK] Seq=2 Ack=65161 Win=159360 Len=0 TSval=29546163 TSecr=29524293"
"106","0.018507s","0.000119s","192.168.0.41","192.168.0.42","TCP","1514","65161","2","1448","29312","51213 > 49200 [ACK] Seq=65161 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"107","0.018517s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","2","66609","","162048","49200 > 51213 [ACK] Seq=2 Ack=66609 Win=162048 Len=0 TSval=29546163 TSecr=29524293"
"108","0.018520s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","66609","2","1448","29312","51213 > 49200 [ACK] Seq=66609 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"109","0.018527s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","2","68057","","161024","49200 > 51213 [ACK] Seq=2 Ack=68057 Win=161024 Len=0 TSval=29546163 TSecr=29524293"
"110","0.018529s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","68057","2","1448","29312","51213 > 49200 [ACK] Seq=68057 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"111","0.018535s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","69505","","160128","49200 > 51213 [ACK] Seq=2 Ack=69505 Win=160128 Len=0 TSval=29546163 TSecr=29524293"
"112","0.018537s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","69505","2","1448","29312","51213 > 49200 [ACK] Seq=69505 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"113","0.018543s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","70953","","159104","49200 > 51213 [ACK] Seq=2 Ack=70953 Win=159104 Len=0 TSval=29546163 TSecr=29524293"
"114","0.018545s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","70953","2","1448","29312","51213 > 49200 [ACK] Seq=70953 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"115","0.018551s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","72401","","158208","49200 > 51213 [ACK] Seq=2 Ack=72401 Win=158208 Len=0 TSval=29546163 TSecr=29524293"
"116","0.018553s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","72401","2","1448","29312","51213 > 49200 [PSH, ACK] Seq=72401 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"117","0.018559s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","73849","","157184","49200 > 51213 [ACK] Seq=2 Ack=73849 Win=157184 Len=0 TSval=29546163 TSecr=29524293"
"118","0.018561s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","73849","2","1448","29312","51213 > 49200 [PSH, ACK] Seq=73849 Ack=2 Win=29312 Len=1448 TSval=29524293 TSecr=29546163"
"119","0.018567s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","75297","","156288","49200 > 51213 [ACK] Seq=2 Ack=75297 Win=156288 Len=0 TSval=29546163 TSecr=29524293"
"120","0.019948s","0.001381s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","57429 > 49216 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=29524293 TSecr=0 WS=128"
"121","0.019997s","0.000049s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49216 > 57429 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=29546163 TSecr=29524293 WS=128"
"122","0.020353s","0.000356s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","57429 > 49216 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=29524293 TSecr=29546163"
"123","0.020447s","0.000094s","192.168.0.42","192.168.0.41","TCP","66","1","1","","29056","49216 > 57429 [FIN, ACK] Seq=1 Ack=1 Win=29056 Len=0 TSval=29546164 TSecr=29524293"
"124","0.022066s","0.001619s","192.168.0.41","192.168.0.42","TCP","66","1","2","","29312","57429 > 49216 [ACK] Seq=1 Ack=2 Win=29312 Len=0 TSval=29524294 TSecr=29546164"
"125","0.022097s","0.000031s","192.168.0.41","192.168.0.42","TCP","1514","75297","2","1448","29312","51213 > 49200 [ACK] Seq=75297 Ack=2 Win=29312 Len=1448 TSval=29524294 TSecr=29546163"
"126","0.022120s","0.000023s","192.168.0.42","192.168.0.41","TCP","66","2","76745","","165120","49200 > 51213 [ACK] Seq=2 Ack=76745 Win=165120 Len=0 TSval=29546164 TSecr=29524294"
"127","0.022125s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","76745","2","1448","29312","51213 > 49200 [ACK] Seq=76745 Ack=2 Win=29312 Len=1448 TSval=29524294 TSecr=29546163"
"128","0.022139s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","78193","","168064","49200 > 51213 [ACK] Seq=2 Ack=78193 Win=168064 Len=0 TSval=29546164 TSecr=29524294"
"129","0.022141s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","78193","2","1448","29312","51213 > 49200 [ACK] Seq=78193 Ack=2 Win=29312 Len=1448 TSval=29524294 TSecr=29546163"
"130","0.022153s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","79641","","170880","49200 > 51213 [ACK] Seq=2 Ack=79641 Win=170880 Len=0 TSval=29546164 TSecr=29524294"
