Time,Source,Destination,Length,data len
4.018749s,10.1.0.1,10.2.0.1,1502,1448
4.018749s,10.2.0.1,10.1.0.1,54,
4.018869s,10.1.0.1,10.2.0.1,1502,1448
4.018870s,10.2.0.1,10.1.0.1,54,
4.018989s,10.1.0.1,10.2.0.1,1502,1448
4.018990s,10.2.0.1,10.1.0.1,54,
4.019109s,10.1.0.1,10.2.0.1,1502,1448
4.019110s,10.2.0.1,10.1.0.1,54,
4.019229s,10.1.0.1,10.2.0.1,1502,1448
4.019230s,10.2.0.1,10.1.0.1,54,
4.019349s,10.1.0.1,10.2.0.1,1502,1448
4.019350s,10.2.0.1,10.1.0.1,54,
4.019470s,10.1.0.1,10.2.0.1,1502,1448
4.019470s,10.2.0.1,10.1.0.1,54,
4.019590s,10.1.0.1,10.2.0.1,1502,1448
4.019591s,10.2.0.1,10.1.0.1,54,
4.019710s,10.1.0.1,10.2.0.1,1502,1448
4.019711s,10.2.0.1,10.1.0.1,54,
4.019830s,10.1.0.1,10.2.0.1,1502,1448
4.019831s,10.2.0.1,10.1.0.1,54,
4.019950s,10.1.0.1,10.2.0.1,1502,1448
4.019951s,10.2.0.1,10.1.0.1,54,
4.020070s,10.1.0.1,10.2.0.1,1502,1448
4.020071s,10.2.0.1,10.1.0.1,54,
4.020191s,10.1.0.1,10.2.0.1,1502,1448
4.020191s,10.2.0.1,10.1.0.1,54,
4.020311s,10.1.0.1,10.2.0.1,1502,1448
4.020312s,10.2.0.1,10.1.0.1,54,
4.020431s,10.1.0.1,10.2.0.1,1502,1448
4.020432s,10.2.0.1,10.1.0.1,54,
4.020551s,10.1.0.1,10.2.0.1,1502,1448
4.020552s,10.2.0.1,10.1.0.1,54,
4.020671s,10.1.0.1,10.2.0.1,1502,1448
4.020672s,10.2.0.1,10.1.0.1,54,
4.020791s,10.1.0.1,10.2.0.1,1502,1448
4.020792s,10.2.0.1,10.1.0.1,54,
4.020912s,10.1.0.1,10.2.0.1,1502,1448
4.020912s,10.2.0.1,10.1.0.1,54,
4.021032s,10.1.0.1,10.2.0.1,1502,1448
4.021032s,10.2.0.1,10.1.0.1,54,
4.021152s,10.1.0.1,10.2.0.1,1502,1448
4.021153s,10.2.0.1,10.1.0.1,54,
4.021272s,10.1.0.1,10.2.0.1,1502,1448
4.021273s,10.2.0.1,10.1.0.1,54,
4.021392s,10.1.0.1,10.2.0.1,1502,1448
4.021393s,10.2.0.1,10.1.0.1,54,
4.021512s,10.1.0.1,10.2.0.1,1502,1448
4.021513s,10.2.0.1,10.1.0.1,54,
4.021633s,10.1.0.1,10.2.0.1,1502,1448
4.021633s,10.2.0.1,10.1.0.1,54,
4.021753s,10.1.0.1,10.2.0.1,1502,1448
4.021753s,10.2.0.1,10.1.0.1,54,
4.021873s,10.1.0.1,10.2.0.1,1502,1448
4.021874s,10.2.0.1,10.1.0.1,54,
4.021993s,10.1.0.1,10.2.0.1,1502,1448
4.021994s,10.2.0.1,10.1.0.1,54,
4.022113s,10.1.0.1,10.2.0.1,1502,1448
4.022114s,10.2.0.1,10.1.0.1,54,
4.022233s,10.1.0.1,10.2.0.1,1502,1448
4.022234s,10.2.0.1,10.1.0.1,54,
4.022353s,10.1.0.1,10.2.0.1,1502,1448
4.022354s,10.2.0.1,10.1.0.1,54,
4.022474s,10.1.0.1,10.2.0.1,1502,1448
4.022474s,10.2.0.1,10.1.0.1,54,
4.022594s,10.1.0.1,10.2.0.1,1502,1448
4.022595s,10.2.0.1,10.1.0.1,54,
4.022714s,10.1.0.1,10.2.0.1,1502,1448
